"student_id","test_grade","hs_diploma_grade","grade_weighted_avg","exams_taken","total_cfu","years"
"A",18,80,27.0,10,90,4
"B",13,67,23.0,10,96,4
"C",18,78,25.0,7,69,4
"D",14,66,23.0,7,66,2
"E",16,82,28.0,2,24,2
"F",16,78,24.0,8,78,2
"G",20,100,27.0,12,108,3
"H",20,76,27.0,11,99,2
"I",23,70,24.0,6,48,2
"J",17,69,23.0,10,87,2
"K",19,100,26.0,13,117,2
"L",17,80,29.0,13,117,2
"M",15,91,27.0,6,60,2
"N",16,81,23.0,12,108,2
"O",16,63,23.0,8,75,2
"P",17,89,25.0,12,108,2
"Q",20,80,24.0,10,90,2
"R",22,81,30.0,12,108,2
"S",16,90,26.0,13,117,2
"T",22,78,24.0,8,75,2
"U",18,79,23.0,10,87,2
"V",14,87,23.0,5,57,2
"W",16,100,29.0,13,117,2
"X",12,70,23.0,10,90,2
"Y",17,86,26.0,11,102,2
"Z",19,81,27.0,13,117,2
