student_id,B006800,B006801,B006802,B006803,B006804,B006807,B006808,B006813,B006818,B015325,B018756,B018757,B018760
A,29,30.0,25.0,25.9,30.0,24.0,18.0,20.0,25.9,25.9,29.0,29.0,25.0
B,26,20.0,21.0,18.0,26.0,22.0,28.0,19.0,23.0,22.6,23.0,22.6,22.6
C,28,24.714285714285715,22.0,24.714285714285715,26.0,24.714285714285715,24.714285714285715,26.0,22.0,24.714285714285715,26.0,23.0,24.714285714285715
D,20,28.0,22.0,23.142857142857142,22.0,21.0,31.0,23.142857142857142,23.142857142857142,23.142857142857142,23.142857142857142,23.142857142857142,18.0
E,28,27.0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
F,24,28.0,23.0,24.0,24.0,29.0,24.125,22.0,24.125,24.125,24.125,19.0,24.125
G,26,30.0,27.0,23.0,31.0,28.0,27.0,28.0,25.0,27.166666666666668,30.0,24.0,27.0
H,30,31.0,21.0,23.0,30.0,25.0,25.0,24.0,24.0,26.454545454545453,26.454545454545453,28.0,30.0
I,23,23.0,24.166666666666668,24.166666666666668,24.166666666666668,24.0,27.0,24.166666666666668,24.166666666666668,24.166666666666668,24.166666666666668,28.0,20.0
J,24,24.0,23.5,20.0,22.0,22.0,24.0,22.0,23.5,27.0,23.5,25.0,25.0
K,31,29.0,20.0,28.0,26.0,24.0,18.0,28.0,28.0,24.0,25.0,30.0,27.0
L,31,31.0,30.0,26.0,30.0,30.0,26.0,31.0,28.0,25.0,28.0,31.0,31.0
M,30,27.0,26.666666666666668,26.666666666666668,27.0,26.666666666666668,18.0,30.0,26.666666666666668,26.666666666666668,28.0,26.666666666666668,26.666666666666668
N,28,19.0,18.0,21.0,28.0,19.0,30.0,23.0,23.0,23.416666666666668,28.0,21.0,23.0
O,24,22.0,20.0,22.75,27.0,18.0,18.0,22.75,22.75,22.75,23.0,30.0,22.75
P,27,25.0,27.0,26.0,21.0,31.0,18.0,25.0,26.0,24.916666666666668,24.0,25.0,24.0
Q,27,27.0,20.0,23.2,24.0,22.0,18.0,23.0,23.2,23.2,25.0,26.0,20.0
R,31,31.0,30.0,28.0,31.0,31.0,30.0,31.0,28.0,30.333333333333332,31.0,31.0,31.0
S,29,23.0,30.0,20.0,24.0,31.0,18.0,31.0,22.0,23.0,29.0,30.0,29.0
T,25,27.0,19.0,24.375,27.0,24.0,25.0,24.0,24.375,24.375,24.375,24.0,24.375
U,24,22.8,21.0,22.8,26.0,27.0,18.0,21.0,21.0,22.8,28.0,22.0,20.0
V,22,25.0,18.0,22.8,27.0,22.8,22.8,22.8,22.8,22.8,22.0,22.8,22.8
W,30,31.0,28.0,30.0,27.0,30.0,30.0,31.0,26.0,28.0,31.0,31.0,31.0
X,24,23.0,23.0,22.8,24.0,18.0,18.0,23.0,22.8,22.8,31.0,25.0,19.0
Y,28,23.0,30.0,25.454545454545453,27.0,25.0,23.0,24.0,27.0,22.0,28.0,23.0,25.454545454545453
Z,30,30.0,19.0,25.0,31.0,29.0,25.0,31.0,25.0,23.0,28.0,30.0,31.0
